target_column,feature_set,model,selected_threshold,f1_threshold,f1_at_f1_threshold,youden_threshold,youden_at_youden_threshold,balanced_threshold,balanced_score,best_params,best_valid_roc_auc
heart_related_event_by_2015,literature_fi_minimal,lightgbm,0.42910755021783425,0.42910755021783425,0.13142857142857142,0.30990157628605536,0.1551512210900856,0.42910755021783425,0.28330468334835146,"{'n_estimators': 131, 'num_leaves': 14, 'max_depth': 2, 'learning_rate': 0.022147077652063186, 'min_child_samples': 60, 'subsample': 0.9849937491166506, 'colsample_bytree': 0.7977656243528263, 'scale_pos_weight': 12.27517485695694}",0.6091851312739233
heart_related_event_by_2015,literature_fi_minimal,catboost,0.43361981440705766,0.628868996712278,0.1228813559322034,0.423496494629356,0.17716318939026365,0.43361981440705766,0.29064162315434305,"{'iterations': 352, 'depth': 4, 'learning_rate': 0.024585043930610614, 'l2_leaf_reg': 4.6061245224589795}",0.6085301094398619
heart_related_event_by_2015,broad_fi_minimal,logistic_regression,0.41811730844365413,0.5029083436059151,0.11049723756906076,0.3987013141151982,0.16808183729581105,0.41811730844365413,0.27661596366686786,{'C': 0.05912861141060978},0.5923580786026201
heart_related_event_by_2015,broad_fi_minimal,random_forest,0.41557587216630015,0.5410243386819522,0.11693548387096775,0.41557587216630015,0.17848940643700484,0.41557587216630015,0.2915430194906179,"{'n_estimators': 253, 'max_depth': 4, 'min_samples_leaf': 2}",0.6061175804625586
heart_related_event_by_2015,broad_fi_minimal,xgboost,0.5502792596817017,0.5502792596817017,0.11764705882352941,0.5149092674255371,0.19670871745107554,0.5502792596817017,0.31259287800515656,"{'n_estimators': 148, 'max_depth': 2, 'learning_rate': 0.02797911365070284, 'subsample': 0.672099077547787, 'colsample_bytree': 0.6677133328811644, 'reg_lambda': 3.124376301798936, 'scale_pos_weight': 29.734006136617175}",0.6088589681384441
heart_related_event_by_2015,broad_fi_minimal,lightgbm,0.5372695950769615,0.5372695950769615,0.11928934010152284,0.5372695950769615,0.20612162380721344,0.5372695950769615,0.32541096390873625,"{'n_estimators': 142, 'num_leaves': 22, 'max_depth': 2, 'learning_rate': 0.09349986707454126, 'min_child_samples': 60, 'subsample': 0.9434977713519959, 'colsample_bytree': 0.7497319510900466, 'scale_pos_weight': 28.397461843672048}",0.6048668391827052
heart_related_event_by_2015,broad_fi_minimal,catboost,0.4286112019894564,0.43866577793293515,0.11617161716171616,0.4286112019894564,0.1841339155749635,0.4286112019894564,0.30018807418231364,"{'iterations': 231, 'depth': 6, 'learning_rate': 0.0492629055283299, 'l2_leaf_reg': 7.479446420028744}",0.6088333602889644
heart_related_event_by_2018,primary,logistic_regression,0.5140775548235278,0.5140775548235278,0.29178470254957506,0.457245589289054,0.21860378683074888,0.5140775548235278,0.5098413191794195,{'C': 0.03967694542223149},0.6435165493175858
heart_related_event_by_2018,primary,random_forest,0.5004334097975175,0.5004334097975175,0.30950819672131147,0.5004334097975175,0.26444219611405906,0.5004334097975175,0.5739503928353705,"{'n_estimators': 160, 'max_depth': 3, 'min_samples_leaf': 2}",0.6457645929260185
heart_related_event_by_2018,primary,xgboost,0.4689120054244995,0.4689120054244995,0.31220285261489694,0.4374549090862274,0.25105510933080044,0.4689120054244995,0.561891068840042,"{'n_estimators': 142, 'max_depth': 3, 'learning_rate': 0.025683147749458696, 'subsample': 0.917893642460109, 'colsample_bytree': 0.8967275702272512, 'reg_lambda': 4.708567619590285, 'scale_pos_weight': 5.275294908201549}",0.6515289793727159
heart_related_event_by_2018,primary,lightgbm,0.3529092802621488,0.4148832095393673,0.3062558356676004,0.3529092802621488,0.2564462844046169,0.3529092802621488,0.5586738581553694,"{'n_estimators': 131, 'num_leaves': 14, 'max_depth': 2, 'learning_rate': 0.022147077652063186, 'min_child_samples': 60, 'subsample': 0.9849937491166506, 'colsample_bytree': 0.7977656243528263, 'scale_pos_weight': 4.042748144640604}",0.6523156655860916
heart_related_event_by_2018,primary,catboost,0.5201104017130647,0.5201104017130647,0.307574598316756,0.5201104017130647,0.24412979290124093,0.5201104017130647,0.5517043912179969,"{'iterations': 352, 'depth': 4, 'learning_rate': 0.024585043930610614, 'l2_leaf_reg': 4.6061245224589795}",0.6506204703598936
heart_related_event_by_2018,no_body_size_demographic,logistic_regression,0.4748562779712197,0.5463573087182466,0.2935153583617748,0.4748562779712197,0.23437983935908813,0.4748562779712197,0.5276174216451444,{'C': 0.03967694542223149},0.64464392641077
heart_related_event_by_2018,no_body_size_demographic,random_forest,0.46215200815091567,0.5141362469454419,0.30527289546716,0.46215200815091567,0.2522454626169188,0.46215200815091567,0.5527262318476881,"{'n_estimators': 352, 'max_depth': 7, 'min_samples_leaf': 18}",0.6507020296917264
heart_related_event_by_2018,no_body_size_demographic,xgboost,0.5826493501663208,0.6103484034538269,0.30340557275541796,0.5826493501663208,0.2480621915715142,0.5826493501663208,0.5481241878517373,"{'n_estimators': 148, 'max_depth': 2, 'learning_rate': 0.02797911365070284, 'subsample': 0.672099077547787, 'colsample_bytree': 0.6677133328811644, 'reg_lambda': 3.124376301798936, 'scale_pos_weight': 9.7926994557975}",0.6521422229563709
heart_related_event_by_2018,no_body_size_demographic,lightgbm,0.3713186585945759,0.3858561611049241,0.3090332805071315,0.3713186585945759,0.2521525469224257,0.3713186585945759,0.5592006976551542,"{'n_estimators': 131, 'num_leaves': 14, 'max_depth': 2, 'learning_rate': 0.022147077652063186, 'min_child_samples': 60, 'subsample': 0.9849937491166506, 'colsample_bytree': 0.7977656243528263, 'scale_pos_weight': 4.042748144640604}",0.6497326092791808
heart_related_event_by_2018,no_body_size_demographic,catboost,0.5140866539105066,0.5140866539105066,0.29524485450674237,0.5140866539105066,0.22528132807499324,0.5140866539105066,0.5205261825817356,"{'iterations': 131, 'depth': 3, 'learning_rate': 0.022713369064581, 'l2_leaf_reg': 1.1235942874800418}",0.6463731907249489
heart_related_event_by_2018,literature_fi_minimal,logistic_regression,0.5330499794029421,0.5330499794029421,0.2736156351791531,0.5330499794029421,0.17533398030187275,0.5330499794029421,0.44894961548102585,{'C': 0.05571828318639696},0.6183942103198365
heart_related_event_by_2018,literature_fi_minimal,random_forest,0.5226210671099754,0.5226210671099754,0.27682737169517885,0.5226210671099754,0.1828188556916026,0.5226210671099754,0.45964622738678146,"{'n_estimators': 160, 'max_depth': 3, 'min_samples_leaf': 2}",0.6164698230472219
heart_related_event_by_2018,literature_fi_minimal,xgboost,0.5937893390655518,0.5937893390655518,0.2857142857142857,0.5937893390655518,0.2090644421961141,0.5937893390655518,0.4947787279103998,"{'n_estimators': 148, 'max_depth': 2, 'learning_rate': 0.02797911365070284, 'subsample': 0.672099077547787, 'colsample_bytree': 0.6677133328811644, 'reg_lambda': 3.124376301798936, 'scale_pos_weight': 9.7926994557975}",0.6294713096983338
