ID,householdID,communityID,HH_weight,HH_weight_ad1,INDV_weight,INDV_weight_ad1,INDV_weight_ad2,Biomarker_weight,versionID
330404328001,3304043280,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15104.814453125,27692.75390625,20170531
330404328002,3304043280,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15007.6982421875,27085.82421875,20170531
330404323001,3304043230,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15123.904296875,,20170531
330404323002,3304043230,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15018.703125,21276.234375,20170531
330404325001,3304043250,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15111.7939453125,,20170531
330404325002,3304043250,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15011.7216796875,22982.455078125,20170531
330404327002,3304043270,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15128.9189453125,,20170531
330404345001,3304043450,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15017.990234375,,20170531
330404345002,3304043450,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15127.65625,,20170531
330404346002,3304043460,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15010.3671875,,20170531
330404346001,3304043460,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15103.6708984375,,20170531
330404313002,3304043130,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15023.0634765625,24174.599609375,20170531
330404313001,3304043130,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15130.1884765625,22503.78125,20170531
330404332001,3304043320,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15102.5322265625,36411.7890625,20170531
330404332002,3304043320,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15007.0380859375,27326.666015625,20170531
330404340002,3304043400,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15020.1416015625,,20170531
330404340001,3304043400,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15126.3994140625,22394.384765625,20170531
330404352001,3304043520,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15032.18359375,,20170531
330404308002,3304043080,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15128.9189453125,22543.791015625,20170531
330404308001,3304043080,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15011.04296875,22981.416015625,20170531
330404348002,3304043480,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15104.814453125,37207.50390625,20170531
330404348001,3304043480,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15007.0380859375,27084.6328125,20170531
330404338001,3304043380,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15102.5322265625,35993.140625,20170531
330404338002,3304043380,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15006.3828125,,20170531
330404319001,3304043190,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15009.6953125,,20170531
330404310001,3304043100,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15143.240234375,,20170531
330404341002,3304043410,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15100.2744140625,,20170531
330404341001,3304043410,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15006.3828125,27325.47265625,20170531
330404336001,3304043360,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15102.5322265625,,20170531
330404336002,3304043360,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15003.1533203125,,20170531
330404334001,3304043340,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15108.27734375,,20170531
330404334002,3304043340,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15010.3671875,,20170531
330404302001,3304043020,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15115.3642578125,27712.095703125,20170531
330404302002,3304043020,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15015.869140625,,20170531
330404314001,3304043140,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15019.421875,,20170531
330404305001,3304043050,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15009.0263671875,27088.220703125,20170531
330404312001,3304043120,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15022.326171875,24173.4140625,20170531
330404312002,3304043120,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15136.6328125,22086.494140625,20170531
330404311001,3304043110,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15128.9189453125,22398.115234375,20170531
330404311002,3304043110,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15021.595703125,,20170531
330404317002,3304043170,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15021.595703125,,20170531
330404322001,3304043220,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15108.27734375,,20170531
330404322002,3304043220,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15009.0263671875,22978.330078125,20170531
330404318002,3304043180,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15117.7734375,,20170531
330404318001,3304043180,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15012.404296875,22826.900390625,20170531
330404321001,3304043210,3304043,25746.0234375,29750.958984375,25746.0234375,29750.958984375,30270.662109375,44169.19140625,20170531
330404321002,3304043210,3304043,25746.0234375,29750.958984375,25746.0234375,29750.958984375,30053.59375,48361.21484375,20170531
330404331001,3304043310,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15102.5322265625,,20170531
330404353001,3304043530,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15099.15625,36403.6484375,20170531
330404353002,3304043530,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15004.435546875,27321.92578125,20170531
330404349001,3304043490,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15099.15625,,20170531
330404349002,3304043490,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15005.0810546875,,20170531
330404351001,3304043510,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15111.7939453125,,20170531
330404351002,3304043510,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15011.04296875,,20170531
330404337002,3304043370,3304043,38619.03125,44626.43359375,38619.03125,44626.43359375,45311.0078125,,20170531
330404337001,3304043370,3304043,38619.03125,44626.43359375,38619.03125,44626.43359375,45025.07421875,81987.2109375,20170531
330404335002,3304043350,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15104.814453125,29995.751953125,20170531
330404335001,3304043350,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15008.359375,27087.017578125,20170531
330404324001,3304043240,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15115.3642578125,27964.53515625,20170531
330404324002,3304043240,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15015.1689453125,22831.103515625,20170531
330404330002,3304043300,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15111.7939453125,30009.611328125,20170531
330404306002,3304043060,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15107.1181640625,27949.279296875,20170531
330404306001,3304043060,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15008.359375,27087.017578125,20170531
330404333002,3304043330,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15104.814453125,,20170531
330404333001,3304043330,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15008.359375,,20170531
338231126001,3382311260,3382311,10869.2197265625,15651.6767578125,10869.2197265625,15651.6767578125,15964.9697265625,29646.203125,20170531
338231126002,3382311260,3382311,10869.2197265625,15651.6767578125,10869.2197265625,15651.6767578125,15834.11328125,23728.802734375,20170531
338231111001,3382311110,3382311,10869.2197265625,15651.6767578125,10869.2197265625,15651.6767578125,15836.869140625,22645.509765625,20170531
338231111002,3382311110,3382311,10869.2197265625,15651.6767578125,10869.2197265625,15651.6767578125,15964.9697265625,,20170531
338231118001,3382311180,3382311,10869.2197265625,15651.6767578125,10869.2197265625,15651.6767578125,15968.1171875,29652.046875,20170531
338231118002,3382311180,3382311,10869.2197265625,15651.6767578125,10869.2197265625,15651.6767578125,15833.205078125,23727.44140625,20170531
338231120001,3382311200,3382311,10869.2197265625,15651.6767578125,10869.2197265625,15651.6767578125,16004.890625,19930.482421875,20170531
338231120002,3382311200,3382311,10869.2197265625,15651.6767578125,10869.2197265625,15651.6767578125,15853.2900390625,19381.833984375,20170531
338231112002,3382311120,3382311,10869.2197265625,15651.6767578125,10869.2197265625,15651.6767578125,16008.4375,20562.00390625,20170531
