communityID,province,province_eng,city,city_eng,urban_nbs,areatype,versionID
1111541,½­ËÕÊ¡,Jiangsu,ÐìÖÝÊÐ,Xuzhou,1,111,20151118
1111542,½­ËÕÊ¡,Jiangsu,ÐìÖÝÊÐ,Xuzhou,1,122,20151118
1111543,½­ËÕÊ¡,Jiangsu,ÐìÖÝÊÐ,Xuzhou,1,111,20151118
1127441,½­ËÕÊ¡,Jiangsu,Ì©ÖÝÊÐ,Taizhou,1,111,20151118
1127442,½­ËÕÊ¡,Jiangsu,Ì©ÖÝÊÐ,Taizhou,1,122,20151118
1127443,½­ËÕÊ¡,Jiangsu,Ì©ÖÝÊÐ,Taizhou,1,122,20151118
1146041,½­ËÕÊ¡,Jiangsu,ÑÎ³ÇÊÐ,Yancheng,1,111,20151118
1146042,½­ËÕÊ¡,Jiangsu,ÑÎ³ÇÊÐ,Yancheng,1,111,20151118
1146043,½­ËÕÊ¡,Jiangsu,ÑÎ³ÇÊÐ,Yancheng,0,220,20151118
1160061,½­ËÕÊ¡,Jiangsu,ËÞÇ¨ÊÐ,Suqian,0,220,20151118
1160062,½­ËÕÊ¡,Jiangsu,ËÞÇ¨ÊÐ,Suqian,1,121,20151118
1160063,½­ËÕÊ¡,Jiangsu,ËÞÇ¨ÊÐ,Suqian,0,220,20151118
1174891,½­ËÕÊ¡,Jiangsu,ÑïÖÝÊÐ,Yangzhou,1,112,20151118
1174892,½­ËÕÊ¡,Jiangsu,ÑïÖÝÊÐ,Yangzhou,1,122,20151118
1174893,½­ËÕÊ¡,Jiangsu,ÑïÖÝÊÐ,Yangzhou,0,220,20151118
1182761,½­ËÕÊ¡,Jiangsu,Á¬ÔÆ¸ÛÊÐ,Lianyungang,1,123,20151118
1182762,½­ËÕÊ¡,Jiangsu,Á¬ÔÆ¸ÛÊÐ,Lianyungang,0,220,20151118
1182763,½­ËÕÊ¡,Jiangsu,Á¬ÔÆ¸ÛÊÐ,Lianyungang,0,220,20151118
1224901,ÖØÇìÊÐ,Chongqing,ÖØÇìÊÐ,Chongqing,0,220,20151118
1224902,ÖØÇìÊÐ,Chongqing,ÖØÇìÊÐ,Chongqing,0,220,20151118
1224903,ÖØÇìÊÐ,Chongqing,ÖØÇìÊÐ,Chongqing,1,121,20151118
1240991,ÖØÇìÊÐ,Chongqing,ÖØÇìÊÐ,Chongqing,0,220,20151118
1240992,ÖØÇìÊÐ,Chongqing,ÖØÇìÊÐ,Chongqing,0,220,20151118
1240993,ÖØÇìÊÐ,Chongqing,ÖØÇìÊÐ,Chongqing,0,220,20151118
1340041,¸ÊËàÊ¡,Gansu,À¼ÖÝÊÐ,Lanzhou,1,112,20151118
