ID,householdID,communityID,HH_weight,HH_weight_ad1,INDV_weight,INDV_weight_ad2,versionID
064033303001,0640333030,0640333,12942.00390625,13756.535620629373,13072.9453125,14553.111486788643,20200914
064033340001,0640333400,0640333,12942.00390625,13756.535620629373,13142.4482421875,14308.465639306605,20200914
064033340002,0640333400,0640333,12942.00390625,13756.535620629373,13055.2802734375,14086.764344993486,20200914
064033336001,0640333360,0640333,12942.00390625,13756.535620629373,13068.443359375,14217.379078812875,20200914
064033304002,0640333040,0640333,12942.00390625,13756.535620629373,19729.080078125,21381.898293952625,20200914
064033304001,0640333040,0640333,12942.00390625,13756.535620629373,19596.146484375,20922.559421056583,20200914
064033343001,0640333430,0640333,12942.00390625,13756.535620629373,13063.4873046875,13956.260864794669,20200914
064033343002,0640333430,0640333,12942.00390625,13756.535620629373,13063.4873046875,14157.890576098034,20200914
064033307001,0640333070,0640333,12942.00390625,13756.535620629373,13142.4482421875,14308.465639306605,20200914
064033326001,0640333260,0640333,12942.00390625,13756.535620629373,13156.9736328125,14259.208790222989,20200914
064033326002,0640333260,0640333,12942.00390625,13756.535620629373,13068.443359375,14217.379078812875,20200914
064033320001,0640333200,0640333,12942.00390625,13756.535620629373,13073.6005859375,14553.84095265592,20200914
064033308001,0640333080,0640333,12942.00390625,13756.535620629373,13076.9296875,15964.938086664773,20200914
064033334001,0640333340,0640333,12942.00390625,13756.535620629373,26138.150390625,28436.132927488088,20200914
064033319002,0640333190,0640333,12942.00390625,13756.535620629373,19740.33203125,21888.343065948695,20200914
064033319001,0640333190,0640333,12942.00390625,13756.535620629373,19602.6640625,21326.067555800564,20200914
064033313002,0640333130,0640333,12942.00390625,13756.535620629373,13142.4482421875,14308.465639306605,20200914
064033313001,0640333130,0640333,12942.00390625,13756.535620629373,13058.7265625,13994.820429344687,20200914
064033316002,0640333160,0640333,12942.00390625,13756.535620629373,13067.8134765625,14216.693818719208,20200914
064033335002,0640333350,0640333,12942.00390625,13756.535620629373,13141.44921875,14301.843730911265,20200914
064033335001,0640333350,0640333,12942.00390625,13756.535620629373,13055.2802734375,13986.68496576911,20200914
064033314002,0640333140,0640333,12942.00390625,13756.535620629373,13148.5498046875,14260.717385509492,20200914
064033314001,0640333140,0640333,12942.00390625,13756.535620629373,13056.9912109375,13988.517966923233,20200914
064033318001,0640333180,0640333,12942.00390625,13756.535620629373,13144.4619140625,14310.65796712113,20200914
064033318002,0640333180,0640333,12942.00390625,13756.535620629373,13059.8994140625,13996.077354890138,20200914
064033328001,0640333280,0640333,12942.00390625,13756.535620629373,13143.453125,14309.559676804736,20200914
064033328002,0640333280,0640333,12942.00390625,13756.535620629373,13058.7265625,13994.820429344687,20200914
064033338002,0640333380,0640333,12942.00390625,13756.535620629373,13141.44921875,14307.37798103587,20200914
064033317001,0640333170,0640333,12942.00390625,13756.535620629373,39497.2265625,45032.17800545645,20200914
064033339001,0640333390,0640333,12942.00390625,13756.535620629373,13073.6005859375,15960.873761047093,20200914
064033302001,0640333020,0640333,12942.00390625,13756.535620629373,13176.0341796875,16777.568514125564,20200914
064033302002,0640333020,0640333,12942.00390625,13756.535620629373,13074.259765625,15961.678518979605,20200914
064033309001,0640333090,0640333,12942.00390625,13756.535620629373,13148.5498046875,14260.717385509492,20200914
064033309002,0640333090,0640333,12942.00390625,13756.535620629373,13062.279296875,13954.97030035619,20200914
064033329002,0640333290,0640333,12942.00390625,13756.535620629373,13154.8359375,14256.892007911074,20200914
064033312001,0640333120,0640333,12942.00390625,13756.535620629373,13165.7421875,15010.726001818817,20200914
064033312002,0640333120,0640333,12942.00390625,13756.535620629373,13066.5625,13951.004630077863,20200914
064033311002,0640333110,0640333,12942.00390625,13756.535620629373,13143.453125,14309.559676804736,20200914
064033311001,0640333110,0640333,12942.00390625,13756.535620629373,13061.083984375,13997.346839225385,20200914
064033332002,0640333320,0640333,12942.00390625,13756.535620629373,13137.501953125,14297.547920366062,20200914
064033332001,0640333320,0640333,12942.00390625,13756.535620629373,13056.4169921875,13987.902781604384,20200914
064033310001,0640333100,0640333,12942.00390625,13756.535620629373,13056.4169921875,13987.902781604384,20200914
064033310002,0640333100,0640333,12942.00390625,13756.535620629373,13141.44921875,14301.843730911265,20200914
064033221001,0640332210,0640332,20859.046875,22171.854020979026,21205.521484375,23512.964645557404,20200914
064033221002,0640332210,0640332,20859.046875,22171.854020979026,21060.806640625,22486.358669813424,20200914
064033234001,0640332340,0640332,20859.046875,22171.854020979026,21073.2734375,25727.25507843294,20200914
064033207001,0640332070,0640332,20859.046875,22171.854020979026,63517.70703125,69126.34253538965,20200914
064033207002,0640332070,0640332,20859.046875,22171.854020979026,63111.3359375,68097.69673487026,20200914
064033223002,0640332230,0640332,20859.046875,22171.854020979026,21195.287109375,22988.08643244996,20200914
064033223001,0640332230,0640332,20859.046875,22171.854020979026,21051.93359375,22490.64664664882,20200914
064033212001,0640332120,0640332,20859.046875,22171.854020979026,21209.001953125,23516.82383566169,20200914
064033212002,0640332120,0640332,20859.046875,22171.854020979026,21061.818359375,22913.506028973294,20200914
064033219001,0640332190,0640332,20859.046875,22171.854020979026,21175.716796875,23045.539915554764,20200914
064033219002,0640332190,0640332,20859.046875,22171.854020979026,21041.6171875,22542.792234852903,20200914
064033215001,0640332150,0640332,20859.046875,22171.854020979026,21177.302734375,23047.26589188465,20200914
064033225001,0640332250,0640332,20859.046875,22171.854020979026,42351.43359375,46091.07983110953,20200914
064033213002,0640332130,0640332,20859.046875,22171.854020979026,21051.93359375,22490.64664664882,20200914
064033213001,0640332130,0640332,20859.046875,22171.854020979026,21186.98828125,23066.729138755876,20200914
064033232001,0640332320,0640332,20859.046875,22171.854020979026,31768.345703125,34573.50161863479,20200914
064033232002,0640332320,0640332,20859.046875,22171.854020979026,31567.953125,34062.1041610612,20200914
064033201002,0640332010,0640332,20859.046875,22171.854020979026,21212.515625,23520.71984183319,20200914
064033201001,0640332010,0640332,20859.046875,22171.854020979026,21061.818359375,22487.43886921289,20200914
064033208002,0640332080,0640332,20859.046875,22171.854020979026,21180.498046875,23050.743351583787,20200914
064033208001,0640332080,0640332,20859.046875,22171.854020979026,21046.234375,22547.73882700855,20200914
064033230001,0640332300,0640332,20859.046875,22171.854020979026,21180.498046875,23059.663081212075,20200914
064033203001,0640332030,0640332,20859.046875,22171.854020979026,21062.833984375,22914.61094447316,20200914
064033209002,0640332090,0640332,20859.046875,22171.854020979026,31778.033203125,34597.42719108298,20200914
064033209001,0640332090,0640332,20859.046875,22171.854020979026,31572.17578125,33835.376558930766,20200914
064033206001,0640332060,0640332,20859.046875,22171.854020979026,21052.8984375,22491.677428916577,20200914
064033226001,0640332260,0640332,20859.046875,22171.854020979026,21188.6328125,22980.869283141234,20200914
064033226002,0640332260,0640332,20859.046875,22171.854020979026,21050.97265625,22559.977864400887,20200914
064033220002,0640332200,0640332,20859.046875,22171.854020979026,42380.56640625,45965.3185434858,20200914
064033220001,0640332200,0640332,20859.046875,22171.854020979026,42100.03125,45117.904459801706,20200914
064033210002,0640332100,0640332,20859.046875,22171.854020979026,42377.265625,46137.03915048911,20200914
064033210001,0640332100,0640332,20859.046875,22171.854020979026,42101.9453125,45119.955728801775,20200914
064033228001,0640332280,0640332,20859.046875,22171.854020979026,21202.07421875,22978.293603704195,20200914
064033228002,0640332280,0640332,20859.046875,22171.854020979026,21054.845703125,22493.75777288612,20200914
064033217002,0640332170,0640332,20859.046875,22171.854020979026,21193.611328125,22986.268905562116,20200914
064033217001,0640332170,0640332,20859.046875,22171.854020979026,21054.845703125,22493.75777288612,20200914
064033231001,0640332310,0640332,20859.046875,22171.854020979026,42360.99609375,46119.32616242415,20200914
064033231002,0640332310,0640332,20859.046875,22171.854020979026,42072.44921875,45396.54953000759,20200914
064033211001,0640332110,0640332,20859.046875,22171.854020979026,21185.35546875,23064.951460721986,20200914
064033211002,0640332110,0640332,20859.046875,22171.854020979026,21050.015625,22558.952229900853,20200914
064033235002,0640332350,0640332,20859.046875,22171.854020979026,31851.541015625,40557.83435155018,20200914
064033235001,0640332350,0640332,20859.046875,22171.854020979026,31619.6953125,38602.82880206982,20200914
064033224001,0640332240,0640332,20859.046875,22171.854020979026,21191.9453125,22984.4619703228,20200914
064033224002,0640332240,0640332,20859.046875,22171.854020979026,21052.8984375,22491.677428916577,20200914
064033216002,0640332160,0640332,20859.046875,22171.854020979026,21185.35546875,23064.951460721986,20200914
064033216001,0640332160,0640332,20859.046875,22171.854020979026,21049.0625,22557.930781664083,20200914
064033229001,0640332290,0640332,20859.046875,22171.854020979026,21225.1015625,27026.766235404768,20200914
064033229002,0640332290,0640332,20859.046875,22171.854020979026,21070.08984375,23455.721660485364,20200914
064033202001,0640332020,0640332,20859.046875,22171.854020979026,21080.900390625,25736.566425770605,20200914
064033218001,0640332180,0640332,20859.046875,22171.854020979026,21193.611328125,22986.268905562116,20200914
064033218002,0640332180,0640332,20859.046875,22171.854020979026,21050.97265625,22489.620037588622,20200914
