communityID,province,city,urban_nbs,areatype,versionID
2024543,Õã½­Ê¡,Äþ²¨ÊÐ,0,220,20151118
2040281,Õã½­Ê¡,º¼ÖÝÊÐ,1,111,20151118
2040282,Õã½­Ê¡,º¼ÖÝÊÐ,1,111,20151118
2040283,Õã½­Ê¡,º¼ÖÝÊÐ,1,111,20151118
2049061,Õã½­Ê¡,ÀöË®ÊÐ,0,220,20151118
2049062,Õã½­Ê¡,ÀöË®ÊÐ,0,220,20151118
2049063,Õã½­Ê¡,ÀöË®ÊÐ,0,220,20151118
2053041,Õã½­Ê¡,¼ÎÐËÊÐ,1,111,20151118
2053042,Õã½­Ê¡,¼ÎÐËÊÐ,1,111,20151118
2053043,Õã½­Ê¡,¼ÎÐËÊÐ,1,121,20151118
2074061,Õã½­Ê¡,Ì¨ÖÝÊÐ,0,220,20151118
2074062,Õã½­Ê¡,Ì¨ÖÝÊÐ,0,220,20151118
2074063,Õã½­Ê¡,Ì¨ÖÝÊÐ,1,121,20151118
2074281,Õã½­Ê¡,Ì¨ÖÝÊÐ,0,220,20151118
2074282,Õã½­Ê¡,Ì¨ÖÝÊÐ,0,220,20151118
2074283,Õã½­Ê¡,Ì¨ÖÝÊÐ,0,220,20151118
2111541,¼ªÁÖÊ¡,ËÄÆ½ÊÐ,1,111,20151118
2111542,¼ªÁÖÊ¡,ËÄÆ½ÊÐ,1,111,20151118
2111543,¼ªÁÖÊ¡,ËÄÆ½ÊÐ,0,220,20151118
2111761,¼ªÁÖÊ¡,ËÄÆ½ÊÐ,0,220,20151118
2111762,¼ªÁÖÊ¡,ËÄÆ½ÊÐ,0,220,20151118
2111763,¼ªÁÖÊ¡,ËÄÆ½ÊÐ,1,121,20151118
2124281,¼ªÁÖÊ¡,¼ªÁÖÊÐ,1,111,20151118
2124282,¼ªÁÖÊ¡,¼ªÁÖÊÐ,1,111,20151118
2124283,¼ªÁÖÊ¡,¼ªÁÖÊÐ,1,121,20151118
2411161,¹ãÎ÷Ê¡,¹ðÁÖÊÐ,1,111,20151118
2411162,¹ãÎ÷Ê¡,¹ðÁÖÊÐ,1,111,20151118
2411163,¹ãÎ÷Ê¡,¹ðÁÖÊÐ,1,111,20151118
2427021,¹ãÎ÷Ê¡,ºÓ³ØÊÐ,0,220,20151118
2427022,¹ãÎ÷Ê¡,ºÓ³ØÊÐ,0,220,20151118
2427023,¹ãÎ÷Ê¡,ºÓ³ØÊÐ,0,220,20151118
2440561,¹ãÎ÷Ê¡,ÄÏÄþÊÐ,1,111,20151118
2440562,¹ãÎ÷Ê¡,ÄÏÄþÊÐ,1,112,20151118
