ID,householdID,communityID,i002,i003,i004,i005,i005_1,i006,i007,i008,i009,i010,i011,i012_1,i012_4,i012_3,i012_2,i012_5,i013,i014s1,i014s2,i015,i017,i018,i019,i020,i021,i022,i023,i024,i027_w3,i025,i026,versionID
064033338002,0640333380,0640333,120.0,2,1,1985,,1,1,,,2,2,2,1,1,1,1,,1,,2,1,3,2,2,,4,2,2,2,4,3,20170531
064033317001,0640333170,0640333,270.0,,1,2005,,1,1,,,2,2,4,1,0,2,0,8,1,,2,1,2,2,2,,5,2,2,2,2,3,20170531
064033323001,0640333230,0640333,260.0,2,1,1998,,1,1,,,2,1,3,1,1,0,0,,1,,2,1,2,2,2,,6,2,2,2,4,3,20170531
064033339001,0640333390,0640333,,2,1,1985,,1,1,,,2,1,4,0,1,1,0,,1,,1,1,2,2,2,,5,2,2,2,5,3,20170531
064033302001,0640333020,0640333,250.0,2,1,1990,,1,1,,,2,2,3,1,1,2,0,,1,,2,1,2,2,2,,5,2,2,2,4,3,20170531
064033309001,0640333090,0640333,230.0,2,1,1994,,1,1,2,,2,1,4,1,1,2,0,,1,,2,1,2,2,2,,6,2,2,2,1,3,20170531
064033329002,0640333290,0640333,238.95,2,1,1987,,1,1,,,2,1,3,1,1,0,0,,1,,2,1,2,1,2,,5,2,2,2,3,3,20170531
064033312001,0640333120,0640333,238.95,2,1,1990,,1,1,,,2,3,3,2,1,1,0,,1,,2,1,2,2,1,2,6,2,2,2,2,3,20170531
064033311002,0640333110,0640333,0.0,2,1,,4,2,,2,2,2,4,1,1,1,1,1,,,2,,1,2,2,1,2,5,2,1,2,4,3,20170531
064033332001,0640333320,0640333,240.0,2,1,2012,,3,,,2,2,2,4,0,0,1,0,10,1,,2,1,2,2,2,,3,2,2,2,3,3,20170531
064033310001,0640333100,0640333,272.0,2,1,2008,,3,,,2,2,2,8,1,0,4,0,10,1,,2,2,2,1,2,,5,2,2,2,1,3,20170531
064033221002,0640332210,0640332,0.0,2,1,2007,,3,,,2,2,2,5,1,2,1,1,,,2,,1,2,2,1,2,5,2,1,2,3,3,20170531
064033234001,0640332340,0640332,0.0,2,1,2010,,3,,,2,2,2,5,1,1,1,1,,,2,,1,3,2,2,,4,2,2,2,3,3,20170531
064033207002,0640332070,0640332,0.0,1,1,,,2,,-2,,1,,1,0,0,0,0,300,1,,1,1,3,2,2,,7,2,2,2,4,3,20170531
064033223002,0640332230,0640332,0.0,2,1,2007,,3,,,2,2,1,1,1,1,0,0,,,2,,1,3,2,2,,5,2,2,2,3,3,20170531
064033212002,0640332120,0640332,0.0,2,1,1999,,3,,,2,2,1,5,1,2,1,1,,,2,,1,2,2,1,2,5,2,2,2,3,3,20170531
