target_column,feature_set,model,status,message,threshold,roc_auc,pr_auc,f1,recall,precision,specificity,fpr,fnr,tn,fp,fn,tp,predicted_positive_rate,predicted_negative_rate
heart_related_event_by_2015,primary,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.453042870028902,0.6487950832928999,0.0844469076833992,0.1302395209580838,0.6444444444444445,0.0724396336386344,0.5946142649199417,0.4053857350800582,0.3555555555555555,1634,1114,48,87,0.4165799514394728,0.5834200485605272
heart_related_event_by_2015,primary,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.2568818242206434,0.6238126044530703,0.0831022804550265,0.1083471531232725,0.725925925925926,0.058542413381123,0.4264919941775837,0.5735080058224163,0.2740740740740741,1172,1576,37,98,0.5806451612903226,0.4193548387096774
heart_related_event_by_2015,primary,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.6444408297538757,0.6218448433877837,0.0727161457478404,0.1248185776487663,0.3185185185185185,0.0776173285198556,0.8140465793304221,0.1859534206695778,0.6814814814814815,2237,511,92,43,0.1921609434616718,0.8078390565383281
heart_related_event_by_2015,primary,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.3744402986815485,0.6364655776591731,0.0783376308691705,0.137037037037037,0.5481481481481482,0.0783068783068783,0.6830422125181951,0.316957787481805,0.4518518518518518,1877,871,61,74,0.327783558792924,0.6722164412070759
heart_related_event_by_2015,primary,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.3057163764660469,0.6432233543587256,0.0828227958638811,0.1041968162083936,0.8,0.0557275541795665,0.334061135371179,0.665938864628821,0.2,918,1830,27,108,0.6722164412070759,0.3277835587929241
heart_related_event_by_2015,no_body_size_demographic,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.4985612930019246,0.6379670063076176,0.078172021971997,0.1280701754385964,0.5407407407407407,0.072636815920398,0.660844250363901,0.3391557496360989,0.4592592592592592,1816,932,62,73,0.3485952133194589,0.651404786680541
heart_related_event_by_2015,no_body_size_demographic,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4477857731632457,0.6326163135479002,0.0783346965511209,0.1207697412076974,0.674074074074074,0.0663265306122449,0.5338427947598253,0.4661572052401747,0.3259259259259259,1467,1281,44,91,0.4758931668400971,0.5241068331599028
heart_related_event_by_2015,no_body_size_demographic,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5761496424674988,0.6280015095153377,0.0730117355036956,0.1266025641025641,0.5851851851851851,0.0709793351302785,0.62372634643377,0.37627365356623,0.4148148148148148,1714,1034,56,79,0.3860561914672216,0.6139438085327784
heart_related_event_by_2015,no_body_size_demographic,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.3699145118899695,0.6343670817833846,0.0783404888160318,0.1265822784810126,0.5185185185185185,0.0720906282183316,0.6721251819505094,0.3278748180494905,0.4814814814814814,1847,901,65,70,0.3368019424210891,0.6631980575789109
heart_related_event_by_2015,no_body_size_demographic,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.445336508470863,0.6381287400938056,0.0784270015487198,0.1195928753180661,0.6962962962962963,0.0654140570633263,0.5112809315866085,0.4887190684133916,0.3037037037037037,1405,1343,41,94,0.4984391259105099,0.5015608740894901
heart_related_event_by_2015,literature_fi_minimal,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4698671351873194,0.6276632163458947,0.0856974344682267,0.1157601115760111,0.6148148148148148,0.0638953040800615,0.5574963609898108,0.4425036390101892,0.3851851851851852,1532,1216,52,83,0.4505723204994797,0.5494276795005203
heart_related_event_by_2015,literature_fi_minimal,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.4935814880047777,0.6078009596204647,0.0896304132437502,0.1207482993197278,0.5259259259259259,0.0682036503362151,0.6470160116448326,0.3529839883551674,0.4740740740740741,1778,970,64,71,0.3610822060353798,0.6389177939646202
heart_related_event_by_2015,literature_fi_minimal,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.4538637697696686,0.6195563103132244,0.0912046762064871,0.1174603174603174,0.5481481481481482,0.0657777777777777,0.6175400291120815,0.3824599708879185,0.4518518518518518,1697,1051,61,74,0.3902185223725286,0.6097814776274714
heart_related_event_by_2015,literature_fi_minimal,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.4291075502178342,0.6231265836433231,0.0957116042676774,0.1475177304964539,0.3851851851851852,0.0912280701754386,0.8114992721979621,0.1885007278020378,0.6148148148148148,2230,518,83,52,0.1977107180020811,0.8022892819979188
heart_related_event_by_2015,literature_fi_minimal,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4336198144070576,0.6162933311768828,0.0857009371366295,0.108709079678814,0.6518518518518519,0.059299191374663,0.4919941775836972,0.5080058224163028,0.3481481481481481,1352,1396,47,88,0.5147415886229622,0.4852584113770378
heart_related_event_by_2015,broad_fi_minimal,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4181173084436541,0.6068426869373011,0.0764581900375185,0.1038824763903462,0.7333333333333333,0.0559006211180124,0.3915574963609898,0.6084425036390102,0.2666666666666666,1076,1672,36,99,0.614290669441554,0.385709330558446
heart_related_event_by_2015,broad_fi_minimal,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4155758721663001,0.6119413445468759,0.0934113999119117,0.1059371362048894,0.674074074074074,0.0574857864813645,0.4570596797671033,0.5429403202328966,0.3259259259259259,1256,1492,44,91,0.5490808185917447,0.4509191814082552
heart_related_event_by_2015,broad_fi_minimal,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.5502792596817017,0.6135775513504771,0.0894801305866297,0.1134480560866794,0.6592592592592592,0.0620641562064156,0.5105531295487628,0.4894468704512372,0.3407407407407407,1403,1345,46,89,0.4973985431841831,0.5026014568158168
heart_related_event_by_2015,broad_fi_minimal,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.5372695950769615,0.609551727855949,0.0858497868570714,0.1104761904761904,0.6444444444444445,0.0604166666666666,0.50764192139738,0.4923580786026201,0.3555555555555555,1395,1353,48,87,0.4994797086368366,0.5005202913631634
heart_related_event_by_2015,broad_fi_minimal,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4286112019894564,0.5918486171761281,0.0922126954717919,0.1034482758620689,0.6,0.0566037735849056,0.5087336244541485,0.4912663755458515,0.4,1398,1350,54,81,0.4963579604578564,0.5036420395421436
heart_related_event_by_2018,primary,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4679445911631533,0.6736666597840226,0.2415870897263225,0.2882249560632688,0.6473684210526316,0.1853805576488319,0.5759121224009416,0.4240878775990584,0.3526315789473684,1468,1081,134,246,0.4530556503926254,0.5469443496073745
heart_related_event_by_2018,primary,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.4927055222613152,0.6645330470153414,0.2288165435678486,0.3025879230258792,0.6,0.2023070097604259,0.6473126716359356,0.3526873283640643,0.4,1650,899,152,228,0.3847729600546261,0.6152270399453739
heart_related_event_by_2018,primary,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.5712909698486328,0.6575323656335819,0.2279945969283661,0.2949029126213592,0.6394736842105263,0.1916403785488959,0.5978815221655551,0.4021184778344449,0.3605263157894737,1524,1025,137,243,0.4329122567429156,0.5670877432570843
heart_related_event_by_2018,primary,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.3710668694258248,0.6536552001817019,0.2225634408524061,0.2995839112343966,0.5684210526315789,0.2033898305084746,0.6681051392703021,0.3318948607296979,0.431578947368421,1703,846,164,216,0.3625810856947764,0.6374189143052236
heart_related_event_by_2018,primary,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.4963539063678356,0.6616526604860523,0.2321172333078572,0.2996207332490518,0.6236842105263158,0.1971713810316139,0.6214201647704982,0.3785798352295018,0.3763157894736842,1584,965,143,237,0.4103789689313759,0.5896210310686241
heart_related_event_by_2018,no_body_size_demographic,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.4886710612601859,0.6579571968367367,0.2386709335873604,0.2801556420233463,0.5684210526315789,0.1858864027538726,0.6288740682620636,0.3711259317379364,0.431578947368421,1603,946,164,216,0.396722430863776,0.603277569136224
heart_related_event_by_2018,no_body_size_demographic,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5274084204392966,0.6583546695298466,0.2293056893327958,0.2975352112676056,0.4447368421052631,0.2235449735449735,0.7697136131816399,0.2302863868183601,0.5552631578947368,1962,587,211,169,0.2581085694776374,0.7418914305223625
heart_related_event_by_2018,no_body_size_demographic,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5850964188575745,0.6494352790568025,0.2291694835379693,0.2849968612680477,0.5973684210526315,0.1871393239901071,0.6131816398587682,0.3868183601412318,0.4026315789473684,1563,986,153,227,0.4141345168999658,0.5858654831000342
